Country,City,Charging Station ID,Charging Station Type,EV Model,Manufacturer,Battery Capacity (kWh),Charging Start Time,Charging End Time,Charging Duration (mins),Energy Delivered (kWh),Charging Cost ($),Payment Method,Temperature (°C),Charging Session Outcome,Station Utilization Rate (%)
Germany,Berlin,CS-8195,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-03-31 18:13:40,2025-03-31 19:30:40,77,18.17,5.83,Subscription,30.7,Completed,57.2
USA,New York,CS-5103,DC Fast,Nissan Leaf,Nissan,40,2025-03-08 13:17:05,2025-03-08 14:27:05,70,13.14,3.69,Card,23.6,Failed,53.6
France,Lyon,CS-4527,Level 1,BYD Han,BYD,76,2025-01-21 20:08:51,2025-01-21 21:34:51,86,62.47,6.37,Subscription,11.9,Aborted,22.4
India,Mumbai,CS-5717,DC Fast,Nissan Leaf,Nissan,40,2025-04-04 21:11:29,2025-04-04 23:03:29,112,8.39,2.97,App,27.3,Failed,46.8
Germany,Munich,CS-5093,Level 2,Nissan Leaf,Nissan,40,2025-03-27 14:58:49,2025-03-27 17:34:49,156,15.26,4.4,Subscription,2.7,Completed,13.7
France,Lyon,CS-5453,Level 2,Nissan Leaf,Nissan,40,2025-02-28 16:48:10,2025-02-28 18:02:10,74,35.33,7.56,Subscription,28.4,Completed,39.6
France,Nice,CS-9000,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-03-02 06:50:54,2025-03-02 09:50:54,180,9.21,2.68,Subscription,4.8,Aborted,40.4
Japan,Tokyo,CS-6111,Level 2,Audi e-tron,Audi,95,2025-03-06 08:03:40,2025-03-06 08:32:40,29,25.61,2.81,App,5.7,Completed,83.1
Australia,Brisbane,CS-3469,DC Fast,Audi e-tron,Audi,95,2025-02-14 14:40:06,2025-02-14 15:49:06,69,63.99,13.99,App,0.7,Completed,29.7
Japan,Yokohama,CS-5773,Level 2,Hyundai Kona Electric,Hyundai,64,2025-01-10 18:35:33,2025-01-10 21:19:33,164,30.28,8.33,Card,34.9,Completed,50.8
Germany,Berlin,CS-3959,Level 2,Nissan Leaf,Nissan,40,2025-03-02 23:00:17,2025-03-02 23:54:17,54,26.96,9.1,Subscription,-2.5,Aborted,57.7
Norway,Trondheim,CS-1805,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-03-24 18:05:35,2025-03-24 20:41:35,156,55.79,5.77,Card,22.3,Failed,70.1
India,Mumbai,CS-3305,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-03-25 11:36:47,2025-03-25 13:42:47,126,14.33,1.45,Subscription,5.5,Failed,71.0
Japan,Tokyo,CS-8887,Level 2,Hyundai Kona Electric,Hyundai,64,2025-03-21 09:14:53,2025-03-21 12:12:53,178,34.95,5.58,Card,16.6,Failed,83.5
Australia,Melbourne,CS-9340,Level 2,Kia EV6,Kia,77,2025-01-17 17:18:14,2025-01-17 17:37:14,19,13.05,2.73,Card,-2.7,Failed,85.8
Germany,Hamburg,CS-5810,Level 1,Kia EV6,Kia,77,2025-03-09 19:41:41,2025-03-09 20:13:41,32,75.41,19.59,Card,21.4,Failed,23.2
Japan,Yokohama,CS-7364,DC Fast,Porsche Taycan,Porsche,93,2025-03-29 13:39:00,2025-03-29 14:48:00,69,86.74,28.33,Card,23.5,Aborted,89.6
India,Delhi,CS-4910,Level 2,Renault Zoe,Renault,52,2025-02-09 23:47:05,2025-02-10 01:57:05,130,10.69,1.79,Card,18.5,Completed,57.1
USA,New York,CS-3046,Level 2,Tesla Model 3,Tesla,60,2025-02-22 19:17:07,2025-02-22 20:30:07,73,8.71,0.95,Card,15.6,Aborted,63.5
France,Nice,CS-8586,Level 2,BMW i3,BMW,42,2025-01-28 14:36:08,2025-01-28 17:17:08,161,26.32,4.55,App,2.6,Completed,62.7
India,Delhi,CS-3995,DC Fast,Porsche Taycan,Porsche,93,2025-02-16 15:01:05,2025-02-16 17:15:05,134,81.02,9.42,Subscription,-1.1,Aborted,68.3
Germany,Berlin,CS-7819,Level 1,Chevy Bolt,Chevrolet,66,2025-02-07 18:50:50,2025-02-07 19:53:50,63,37.71,5.36,App,13.5,Completed,45.5
Japan,Tokyo,CS-9276,Level 1,Tesla Model 3,Tesla,60,2025-01-11 22:56:59,2025-01-12 01:29:59,153,50.98,19.92,Card,11.3,Aborted,27.1
Canada,Toronto,CS-3402,Level 2,BMW i3,BMW,42,2025-01-15 02:03:09,2025-01-15 03:55:09,112,5.08,1.1,App,11.9,Failed,89.6
Japan,Yokohama,CS-2183,Level 1,Kia EV6,Kia,77,2025-02-28 20:41:41,2025-02-28 21:35:41,54,18.67,3.09,Subscription,24.4,Completed,69.8
USA,New York,CS-3616,Level 1,BYD Han,BYD,76,2025-01-10 10:58:38,2025-01-10 13:15:38,137,40.7,14.48,Card,33.4,Completed,78.1
Germany,Hamburg,CS-8534,DC Fast,Nissan Leaf,Nissan,40,2025-03-05 21:33:25,2025-03-05 22:48:25,75,19.13,7.32,Card,18.2,Completed,59.6
Canada,Montreal,CS-3579,Level 1,BYD Han,BYD,76,2025-03-31 07:57:28,2025-03-31 10:36:28,159,42.12,16.02,Subscription,23.6,Completed,31.2
UK,Birmingham,CS-7068,Level 1,Hyundai Kona Electric,Hyundai,64,2025-01-23 18:58:11,2025-01-23 21:10:11,132,23.65,7.7,Card,13.3,Failed,89.7
Germany,Hamburg,CS-3005,Level 1,Chevy Bolt,Chevrolet,66,2025-04-03 04:58:55,2025-04-03 07:22:55,144,21.18,8.05,Card,9.8,Completed,45.1
Japan,Yokohama,CS-2680,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-02-19 17:07:16,2025-02-19 19:58:16,171,63.05,21.57,Card,21.7,Failed,34.0
Germany,Berlin,CS-4174,Level 1,Hyundai Kona Electric,Hyundai,64,2025-03-22 20:29:55,2025-03-22 21:13:55,44,57.49,18.55,App,6.3,Completed,67.4
France,Nice,CS-1037,Level 1,Hyundai Kona Electric,Hyundai,64,2025-03-21 16:26:54,2025-03-21 18:50:54,144,33.82,12.57,Card,20.4,Aborted,13.5
India,Mumbai,CS-4900,Level 2,Hyundai Kona Electric,Hyundai,64,2025-03-07 20:47:06,2025-03-07 21:43:06,56,48.73,12.94,Subscription,-4.6,Completed,85.6
UK,Birmingham,CS-1369,Level 1,Tesla Model 3,Tesla,60,2025-02-13 22:16:49,2025-02-14 00:05:49,109,37.04,5.35,Card,7.3,Completed,81.9
France,Nice,CS-4782,Level 2,Chevy Bolt,Chevrolet,66,2025-02-04 07:39:56,2025-02-04 08:20:56,41,26.57,7.12,Subscription,25.0,Completed,79.2
UK,Manchester,CS-6751,Level 2,Tesla Model 3,Tesla,60,2025-02-03 08:13:47,2025-02-03 09:13:47,60,45.51,9.09,Subscription,29.6,Completed,31.3
Germany,Munich,CS-1705,Level 2,Tesla Model 3,Tesla,60,2025-03-09 18:49:21,2025-03-09 21:04:21,135,17.23,5.94,App,7.2,Completed,27.8
France,Lyon,CS-7329,Level 2,Audi e-tron,Audi,95,2025-01-17 08:29:55,2025-01-17 09:55:55,86,82.79,32.29,App,20.7,Aborted,64.4
Japan,Osaka,CS-9793,DC Fast,Tesla Model 3,Tesla,60,2025-03-18 17:19:24,2025-03-18 18:03:24,44,53.24,9.5,App,-3.5,Failed,44.8
